 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	rope1.DAT
Date : 	 1AUG12  
User : 	bp                            
Sample ID : 	rope    
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	5	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	3.14	mm²
Diameter : 	2	mm
Extensometer removed at point :  0 
Max Load : 	3.511917	kN
Displ. at Max Load : 	.365631	mm
Comment : 	red rope
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]
284	28.4	2.338883	1.168789
285	28.5	2.347671	1.174963
286	28.6	2.356028	1.179152
287	28.7	2.364562	1.18306
288	28.8	2.372309	1.187415
289	28.9	2.38064	1.191526
290	29	2.389073	1.196017
291	29.1	2.397328	1.201123
292	29.2	2.40571	1.206515
293	29.3	2.413686	1.208948
294	29.4	2.421992	1.213799
295	29.5	2.429993	1.219248
296	29.6	2.438476	1.222927
297	29.7	2.447087	1.228408
298	29.8	2.455316	1.233972
299	29.9	2.463749	1.236223
300	30	2.471649	1.24137
301	30.1	2.48064	1.245522
302	30.2	2.489352	1.251566
303	30.3	2.497684	1.25588
304	30.4	2.50604	1.261168
305	30.5	2.514041	1.265029
306	30.6	2.522245	1.269322
307	30.7	2.530678	1.273594
308	30.8	2.539314	1.277986
309	30.9	2.547391	1.283879
310	31	2.555723	1.288828
311	31.1	2.563952	1.293007
312	31.2	2.572309	1.298988
313	31.3	2.58097	1.301832
314	31.4	2.589327	1.307944
315	31.5	2.597683	1.311622
316	31.6	2.605989	1.316056
317	31.7	2.614371	1.321
318	31.8	2.622956	1.325981
319	31.9	2.630957	1.331592
320	32	2.639492	1.335166
321	32.1	2.648356	1.340506
322	32.2	2.656357	1.345247
323	32.3	2.664993	1.350645
324	32.4	2.673045	1.355318
325	32.5	2.681605	1.358851
326	32.6	2.690012	1.364326
327	32.7	2.698115	1.369078
328	32.8	2.706726	1.375012
329	32.9	2.715006	1.378404
330	33	2.723363	1.384041
331	33.1	2.731287	1.389006
332	33.2	2.739847	1.393289
333	33.3	2.748356	1.397775
334	33.4	2.757119	1.40448
335	33.5	2.76573	1.407726
336	33.6	2.773324	1.413035
337	33.7	2.782011	1.418651
338	33.8	2.790012	1.423523
339	33.9	2.799004	1.427899
340	34	2.807411	1.43115
341	34.1	2.815412	1.43846
342	34.2	2.823591	1.442972
343	34.3	2.831719	1.447807
344	34.4	2.839999	1.452173
345	34.5	2.848788	1.456794
346	34.6	2.856992	1.463192
347	34.7	2.865323	1.467063
348	34.8	2.872994	1.472591
349	34.9	2.88163	1.476769
350	35	2.890012	1.482292
351	35.1	2.898369	1.487028
352	35.2	2.90703	1.49181
353	35.3	2.915006	1.496525
354	35.4	2.923311	1.501267
355	35.5	2.931312	1.507805
356	35.6	2.939999	1.511681
357	35.7	2.948762	1.516938
358	35.8	2.956433	1.521961
359	35.9	2.964688	1.526796
360	36	2.972587	1.532834
361	36.1	2.981274	1.538039
362	36.2	2.990012	1.544802
363	36.3	2.998394	1.549407
364	36.4	3.006725	1.555399
365	36.5	3.015005	1.558775
366	36.6	3.023235	1.56486
367	36.7	3.031642	1.571164
368	36.8	3.039999	1.574915
369	36.9	3.048762	1.579719
370	37	3.057373	1.586107
371	37.1	3.065628	1.590994
372	37.2	3.073552	1.595683
373	37.3	3.082315	1.600351
374	37.4	3.090367	1.607291
375	37.5	3.098673	1.610917
376	37.6	3.10703	1.615887
377	37.7	3.115361	1.62216
378	37.8	3.123311	1.626286
379	37.9	3.131718	1.632965
380	38	3.139999	1.636133
381	38.1	3.148432	1.641864
382	38.2	3.156712	1.647283
383	38.3	3.164992	1.652211
384	38.4	3.17307	1.657036
385	38.5	3.181248	1.661558
386	38.6	3.189757	1.667258
387	38.7	3.198089	1.672228
388	38.8	3.206395	1.678418
389	38.9	3.215005	1.683461
390	39	3.22293	1.690578
391	39.1	3.231363	1.695527
392	39.2	3.239592	1.700769
393	39.3	3.248	1.704926
394	39.4	3.256712	1.711616
395	39.5	3.264992	1.714544
396	39.6	3.272765	1.720869
397	39.7	3.280994	1.725964
398	39.8	3.289401	1.730382
399	39.9	3.297758	1.736291
400	40	3.306394	1.742397
401	40.1	3.313989	1.747211
402	40.2	3.323006	1.752264
403	40.3	3.330651	1.75761
404	40.4	3.339566	1.762132
405	40.5	3.348152	1.769447
406	40.6	3.356356	1.773699
407	40.7	3.364205	1.778564
408	40.8	3.372358	1.784264
409	40.9	3.380994	1.789579
410	41	3.389731	1.794299
411	41.1	3.398012	1.800811
412	41.2	3.405988	1.805292
413	41.3	3.41409	1.810293
414	41.4	3.42265	1.817473
415	41.5	3.430676	1.823287
416	41.6	3.439516	1.827216
417	41.7	3.44805	1.834593
418	41.8	3.45628	1.838699
419	41.9	3.464992	1.844659
420	42	3.473043	1.850036
421	42.1	3.481527	1.854204
422	42.2	3.490011	1.860841
423	42.3	3.498723	1.865541
424	42.4	3.50741	1.872355
425	42.5	3.515309	1.877149
426	42.6	3.523488	1.881327
427	42.7	3.531692	1.8866
428	42.8	3.540328	1.893821
429	42.9	3.549091	1.899322
430	43	3.557448	1.904751
431	43.1	3.565373	1.910597
432	43.2	3.573323	1.914661
433	43.3	3.582238	1.921382
434	43.4	3.59029	1.925842
435	43.5	3.598748	1.930624
436	43.6	3.607003	1.935876
437	43.7	3.61536	1.943295
438	43.8	3.623869	1.948276
439	43.9	3.63192	1.953955
440	44	3.640633	1.959852
441	44.1	3.649396	1.964333
442	44.2	3.657473	1.970804
443	44.3	3.666363	1.97617
444	44.4	3.674008	1.982599
445	44.5	3.682797	1.988059
446	44.6	3.691001	1.993686
447	44.7	3.699357	1.998417
448	44.8	3.707689	2.004638
449	44.9	3.715969	2.009473
450	45	3.723868	2.015485
451	45.1	3.732327	2.022185
452	45.2	3.740886	2.026238
453	45.3	3.749446	2.033564
454	45.4	3.757727	2.038982
455	45.5	3.766033	2.044244
456	45.6	3.774008	2.049402
457	45.7	3.782873	2.055602
458	45.8	3.79128	2.061823
459	45.9	3.799713	2.066126
460	46	3.808069	2.073472
461	46.1	3.81635	2.076098
462	46.2	3.824808	2.082871
463	46.3	3.832682	2.089519
464	46.4	3.841522	2.09524
465	46.5	3.849802	2.101429
466	46.6	3.858031	2.10616
467	46.7	3.866388	2.112871
468	46.8	3.874313	2.116497
469	46.9	3.882593	2.122895
470	47	3.89067	2.128834
471	47.1	3.899332	2.134388
472	47.2	3.907358	2.140484
473	47.3	3.91569	2.144506
474	47.4	3.923919	2.15031
475	47.5	3.932326	2.157969
476	47.6	3.940632	2.163825
477	47.7	3.949167	2.169722
478	47.8	3.957473	2.175047
479	47.9	3.965651	2.18032
480	48	3.973678	2.185748
481	48.1	3.982593	2.190896
482	48.2	3.990314	2.198659
483	48.3	3.998798	2.203744
484	48.4	4.007028	2.209297
485	48.5	4.015359	2.215497
486	48.6	4.023843	2.220218
487	48.7	4.031996	2.226907
488	48.8	4.040556	2.234118
489	48.9	4.04876	2.239089
490	49	4.057167	2.245715
491	49.1	4.065676	2.249467
492	49.2	4.073271	2.257501
493	49.3	4.082288	2.262283
494	49.4	4.090365	2.268233
495	49.5	4.098671	2.273506
496	49.6	4.107129	2.279029
497	49.7	4.11541	2.285583
498	49.8	4.123563	2.29049
499	49.9	4.131589	2.296326
500	50	4.140327	2.301057
501	50.1	4.14876	2.308486
502	50.2	4.15671	2.31503
503	50.3	4.16499	2.32024
504	50.4	4.173169	2.325564
505	50.5	4.181272	2.330368
506	50.6	4.18973	2.336068
507	50.7	4.19768	2.341934
508	50.8	4.206037	2.347874
509	50.9	4.214393	2.354928
510	51	4.222598	2.358929
511	51.1	4.231005	2.364879
512	51.2	4.239311	2.370287
513	51.3	4.247769	2.377998
514	51.4	4.256405	2.382916
515	51.5	4.264635	2.388616
516	51.6	4.272331	2.394108
517	51.7	4.280992	2.40013
518	51.8	4.289476	2.406236
519	51.9	4.297274	2.412238
520	52	4.305681	2.418084
521	52.1	4.313682	2.423648
522	52.2	4.322039	2.430192
523	52.3	4.329989	2.436256
524	52.4	4.338523	2.442644
525	52.5	4.347032	2.447781
526	52.6	4.355287	2.45446
527	52.7	4.363949	2.459295
528	52.8	4.372	2.466141
529	52.9	4.380357	2.470809
530	53	4.389044	2.477968
531	53.1	4.397274	2.484324
532	53.2	4.405732	2.488857
533	53.3	4.413682	2.494056
534	53.4	4.422318	2.501517
535	53.5	4.430369	2.506435
536	53.6	4.438879	2.51252
537	53.7	4.447362	2.518439
538	53.8	4.455363	2.524566
539	53.9	4.463771	2.529661
540	54	4.471848	2.536778
541	54.1	4.480332	2.542853
542	54.2	4.489069	2.549116
543	54.3	4.49735	2.554388
544	54.4	4.50568	2.559869
545	54.5	4.514088	2.56759
546	54.6	4.522318	2.571946
547	54.7	4.53103	2.579959
548	54.8	4.539234	2.583575
549	54.9	4.548048	2.590358
550	55	4.55643	2.596485
551	55.1	4.564609	2.603112
552	55.2	4.572686	2.608531
553	55.3	4.581246	2.613293
554	55.4	4.589729	2.621347
555	55.5	4.59773	2.62563
556	55.6	4.606036	2.631496
557	55.7	4.614443	2.638791
558	55.8	4.622927	2.644501
559	55.9	4.631309	2.651576
560	56	4.639411	2.655911
561	56.1	4.648073	2.661996
562	56.2	4.656709	2.668894
563	56.3	4.664989	2.675865
564	56.4	4.673092	2.680825
565	56.5	4.681931	2.687212
566	56.6	4.690008	2.69285
567	56.7	4.698771	2.696122
568	56.8	4.707052	2.704208
569	56.9	4.715332	2.709886
570	57	4.723638	2.715482
571	57.1	4.731283	2.723881
572	57.2	4.740326	2.72809
573	57.3	4.748403	2.734061
574	57.4	4.756988	2.741136
575	57.5	4.765395	2.745752
576	57.6	4.77327	2.752734
577	57.7	4.782033	2.758465
578	57.8	4.790008	2.764957
579	57.9	4.798644	2.771375
580	58	4.807128	2.776231
581	58.1	4.815002	2.781972
582	58.2	4.823612	2.787036
583	58.3	4.83169	2.793987
584	58.4	4.840605	2.799353
585	58.5	4.848809	2.805824
586	58.6	4.856988	2.811128
587	58.7	4.86537	2.81814
588	58.8	4.873371	2.823715
589	58.9	4.882007	2.829352
590	59	4.890008	2.83402
591	59.1	4.898009	2.84095
592	59.2	4.906366	2.848515
593	59.3	4.914291	2.853141
594	59.4	4.922952	2.858393
595	59.5	4.931309	2.867583
596	59.6	4.939513	2.872522
597	59.7	4.948403	2.878899
598	59.8	4.956327	2.883359
599	59.9	4.96471	2.889559
600	60	4.97304	2.895717
601	60.1	4.981728	2.901407
602	60.2	4.990008	2.908294
603	60.3	4.99839	2.913056
604	60.4	5.00667	2.918673
605	60.5	5.015001	2.926206
606	60.6	5.023231	2.931802
